timestamp;image_file;prompt;response;goldtruth
240515101949;malsha_seaa/pos/1506906089681221_front.jpeg;Is there a human pedestrian in this image? Answer only either "yes" or "no".;yes;yes
240515101956;malsha_seaa/pos/1506907458250708_front.jpeg;Is there a human pedestrian in this image? Answer only either "yes" or "no".;yes;yes
240515102004;malsha_seaa/pos/1506907459250608_front.jpeg;Is there a human pedestrian in this image? Answer only either "yes" or "no".;yes;yes
240515102012;malsha_seaa/pos/1506907460250766_front.jpeg;Is there a human pedestrian in this image? Answer only either "yes" or "no".;yes;yes
240515102020;malsha_seaa/pos/1506907463250685_front.jpeg;Is there a human pedestrian in this image? Answer only either "yes" or "no".;yes;yes
240515102027;malsha_seaa/pos/1506907466250691_front.jpeg;Is there a human pedestrian in this image? Answer only either "yes" or "no".;yes;yes
240515102034;malsha_seaa/pos/1506959817627630_front.jpeg;Is there a human pedestrian in this image? Answer only either "yes" or "no".;yes;yes
240515102040;malsha_seaa/pos/1506959818627557_front.jpeg;Is there a human pedestrian in this image? Answer only either "yes" or "no".;yes;yes
240515102046;malsha_seaa/pos/1506959819627511_front.jpeg;Is there a human pedestrian in this image? Answer only either "yes" or "no".;yes;yes
240515102052;malsha_seaa/pos/1506959820627388_front.jpeg;Is there a human pedestrian in this image? Answer only either "yes" or "no".;yes;yes
240515102100;malsha_seaa/pos/1506961333987854_front.jpeg;Is there a human pedestrian in this image? Answer only either "yes" or "no".;yes;yes
240515102106;malsha_seaa/pos/1506961334986515_front.jpeg;Is there a human pedestrian in this image? Answer only either "yes" or "no".;yes;yes
240515102112;malsha_seaa/pos/1506961335982268_front.jpeg;Is there a human pedestrian in this image? Answer only either "yes" or "no".;yes;yes
240515102119;malsha_seaa/pos/1507130304508918_front.jpeg;Is there a human pedestrian in this image? Answer only either "yes" or "no".;yes;yes
240515102126;malsha_seaa/pos/1507130305508886_front.jpeg;Is there a human pedestrian in this image? Answer only either "yes" or "no".;yes;yes
240515102132;malsha_seaa/pos/1507130306508853_front.jpeg;Is there a human pedestrian in this image? Answer only either "yes" or "no".;yes;yes
240515102139;malsha_seaa/pos/1507130307509115_front.jpeg;Is there a human pedestrian in this image? Answer only either "yes" or "no".;yes;yes
240515102147;malsha_seaa/pos/1507130308509236_front.jpeg;Is there a human pedestrian in this image? Answer only either "yes" or "no".;yes;yes
240515102154;malsha_seaa/pos/1507130309509190_front.jpeg;Is there a human pedestrian in this image? Answer only either "yes" or "no".;yes;yes
240515102201;malsha_seaa/pos/1507130310509541_front.jpeg;Is there a human pedestrian in this image? Answer only either "yes" or "no".;yes;yes
240515102207;malsha_seaa/pos/1507130311509733_front.jpeg;Is there a human pedestrian in this image? Answer only either "yes" or "no".;yes;yes
240515102214;malsha_seaa/pos/1507241617619981_front.jpeg;Is there a human pedestrian in this image? Answer only either "yes" or "no".;yes;yes
240515102220;malsha_seaa/pos/1507241618620181_front.jpeg;Is there a human pedestrian in this image? Answer only either "yes" or "no".;yes;yes
240515102227;malsha_seaa/pos/1507241619619977_front.jpeg;Is there a human pedestrian in this image? Answer only either "yes" or "no".;yes;yes
240515102233;malsha_seaa/pos/1507241626620100_front.jpeg;Is there a human pedestrian in this image? Answer only either "yes" or "no".;yes;yes
240515102240;malsha_seaa/pos/1507245557916301_front.jpeg;Is there a human pedestrian in this image? Answer only either "yes" or "no".;yes;yes
240515102247;malsha_seaa/pos/1507245558916417_front.jpeg;Is there a human pedestrian in this image? Answer only either "yes" or "no".;yes;yes
240515102254;malsha_seaa/pos/1507245563916108_front.jpeg;Is there a human pedestrian in this image? Answer only either "yes" or "no".;yes;yes
240515102300;malsha_seaa/pos/1507245565916167_front.jpeg;Is there a human pedestrian in this image? Answer only either "yes" or "no".;yes;yes
240515102306;malsha_seaa/pos/1507245566916043_front.jpeg;Is there a human pedestrian in this image? Answer only either "yes" or "no".;yes;yes
240515102315;malsha_seaa/pos/1507250075983606_front.jpeg;Is there a human pedestrian in this image? Answer only either "yes" or "no".;yes;yes
240515102323;malsha_seaa/pos/1507250076983657_front.jpeg;Is there a human pedestrian in this image? Answer only either "yes" or "no".;yes;yes
240515102331;malsha_seaa/pos/1507250077983698_front.jpeg;Is there a human pedestrian in this image? Answer only either "yes" or "no".;yes;yes
240515102338;malsha_seaa/pos/1507250078983371_front.jpeg;Is there a human pedestrian in this image? Answer only either "yes" or "no".;yes;yes
240515102345;malsha_seaa/pos/1507250079983493_front.jpeg;Is there a human pedestrian in this image? Answer only either "yes" or "no".;yes;yes
240515102352;malsha_seaa/pos/1507250080983797_front.jpeg;Is there a human pedestrian in this image? Answer only either "yes" or "no".;yes;yes
240515102401;malsha_seaa/pos/1507265180781115_front.jpeg;Is there a human pedestrian in this image? Answer only either "yes" or "no".;yes;yes
240515102412;malsha_seaa/pos/1507265181781126_front.jpeg;Is there a human pedestrian in this image? Answer only either "yes" or "no".;yes;yes
240515102421;malsha_seaa/pos/1507265182781291_front.jpeg;Is there a human pedestrian in this image? Answer only either "yes" or "no".;yes;yes
240515102429;malsha_seaa/pos/1507265183781544_front.jpeg;Is there a human pedestrian in this image? Answer only either "yes" or "no".;yes;yes
240515102438;malsha_seaa/pos/1507265184781569_front.jpeg;Is there a human pedestrian in this image? Answer only either "yes" or "no".;yes;yes
240515102446;malsha_seaa/pos/1507265186784072_front.jpeg;Is there a human pedestrian in this image? Answer only either "yes" or "no".;yes;yes
240515102455;malsha_seaa/pos/1507265187785073_front.jpeg;Is there a human pedestrian in this image? Answer only either "yes" or "no".;yes;yes
240515102502;malsha_seaa/pos/1507265188785631_front.jpeg;Is there a human pedestrian in this image? Answer only either "yes" or "no".;yes;yes
240515102511;malsha_seaa/pos/1507265189786118_front.jpeg;Is there a human pedestrian in this image? Answer only either "yes" or "no".;yes;yes
240515102521;malsha_seaa/pos/1507265190786488_front.jpeg;Is there a human pedestrian in this image? Answer only either "yes" or "no".;yes;yes
240515102529;malsha_seaa/pos/1507598368756667_front.jpeg;Is there a human pedestrian in this image? Answer only either "yes" or "no".;yes;yes
240515102536;malsha_seaa/pos/1507598369856332_front.jpeg;Is there a human pedestrian in this image? Answer only either "yes" or "no".;yes;yes
240515102544;malsha_seaa/pos/1508026473468658_front.jpeg;Is there a human pedestrian in this image? Answer only either "yes" or "no".;yes;yes
240515102552;malsha_seaa/pos/1508026474468960_front.jpeg;Is there a human pedestrian in this image? Answer only either "yes" or "no".;yes;yes
240515102559;malsha_seaa/pos/1508026475468833_front.jpeg;Is there a human pedestrian in this image? Answer only either "yes" or "no".;yes;yes
240515102608;malsha_seaa/pos/1508026476468518_front.jpeg;Is there a human pedestrian in this image? Answer only either "yes" or "no".;yes;yes
240515102615;malsha_seaa/pos/1508026477468878_front.jpeg;Is there a human pedestrian in this image? Answer only either "yes" or "no".;yes;yes
240515102623;malsha_seaa/pos/1508026478469291_front.jpeg;Is there a human pedestrian in this image? Answer only either "yes" or "no".;yes;yes
240515102629;malsha_seaa/pos/1508027104917873_front.jpeg;Is there a human pedestrian in this image? Answer only either "yes" or "no".;yes;yes
240515102635;malsha_seaa/pos/1508027105918146_front.jpeg;Is there a human pedestrian in this image? Answer only either "yes" or "no".;yes;yes
240515102641;malsha_seaa/pos/1508027106917976_front.jpeg;Is there a human pedestrian in this image? Answer only either "yes" or "no".;yes;yes
240515102647;malsha_seaa/pos/1508027107917364_front.jpeg;Is there a human pedestrian in this image? Answer only either "yes" or "no".;yes;yes
240515102654;malsha_seaa/pos/1508027108918102_front.jpeg;Is there a human pedestrian in this image? Answer only either "yes" or "no".;yes;yes
240515102659;malsha_seaa/pos/1508027109918589_front.jpeg;Is there a human pedestrian in this image? Answer only either "yes" or "no".;yes;yes
240515102707;malsha_seaa/pos/1508086846953170_front.jpeg;Is there a human pedestrian in this image? Answer only either "yes" or "no".;yes;yes
240515102714;malsha_seaa/pos/1508086847953428_front.jpeg;Is there a human pedestrian in this image? Answer only either "yes" or "no".;yes;yes
240515102721;malsha_seaa/pos/1508086848953569_front.jpeg;Is there a human pedestrian in this image? Answer only either "yes" or "no".;yes;yes
240515102728;malsha_seaa/pos/1508086849953459_front.jpeg;Is there a human pedestrian in this image? Answer only either "yes" or "no".;yes;yes
240515102734;malsha_seaa/pos/1508086850953376_front.jpeg;Is there a human pedestrian in this image? Answer only either "yes" or "no".;yes;yes
240515102740;malsha_seaa/pos/1508086851953278_front.jpeg;Is there a human pedestrian in this image? Answer only either "yes" or "no".;yes;yes
240515102746;malsha_seaa/pos/1508086853953451_front.jpeg;Is there a human pedestrian in this image? Answer only either "yes" or "no".;yes;yes
240515102754;malsha_seaa/pos/1508086855953442_front.jpeg;Is there a human pedestrian in this image? Answer only either "yes" or "no".;yes;yes
240515102801;malsha_seaa/pos/1508086856953307_front.jpeg;Is there a human pedestrian in this image? Answer only either "yes" or "no".;yes;yes
240515102807;malsha_seaa/pos/1508086857953361_front.jpeg;Is there a human pedestrian in this image? Answer only either "yes" or "no".;yes;yes
240515102818;malsha_seaa/pos/1508086858953411_front.jpeg;Is there a human pedestrian in this image? Answer only either "yes" or "no".;yes;yes
240515102824;malsha_seaa/pos/1508086859953587_front.jpeg;Is there a human pedestrian in this image? Answer only either "yes" or "no".;yes;yes
240515102830;malsha_seaa/pos/1508199135017257_front.jpeg;Is there a human pedestrian in this image? Answer only either "yes" or "no".;yes;yes
240515102836;malsha_seaa/pos/1508199136017177_front.jpeg;Is there a human pedestrian in this image? Answer only either "yes" or "no".;yes;yes
240515102843;malsha_seaa/pos/1508199137017050_front.jpeg;Is there a human pedestrian in this image? Answer only either "yes" or "no".;yes;yes
240515102850;malsha_seaa/pos/1508199138016954_front.jpeg;Is there a human pedestrian in this image? Answer only either "yes" or "no".;yes;yes
240515102855;malsha_seaa/pos/1508199139017166_front.jpeg;Is there a human pedestrian in this image? Answer only either "yes" or "no".;yes;yes
240515102908;malsha_seaa/pos/1508199140017233_front.jpeg;Is there a human pedestrian in this image? Answer only either "yes" or "no".;yes;yes
240515102914;malsha_seaa/pos/1508199141017148_front.jpeg;Is there a human pedestrian in this image? Answer only either "yes" or "no".;yes;yes
240515102920;malsha_seaa/pos/1508199142017068_front.jpeg;Is there a human pedestrian in this image? Answer only either "yes" or "no".;yes;yes
240515102926;malsha_seaa/pos/1508199143016856_front.jpeg;Is there a human pedestrian in this image? Answer only either "yes" or "no".;yes;yes
240515102933;malsha_seaa/pos/1508199144016940_front.jpeg;Is there a human pedestrian in this image? Answer only either "yes" or "no".;yes;yes
240515102938;malsha_seaa/pos/1508199145017232_front.jpeg;Is there a human pedestrian in this image? Answer only either "yes" or "no".;yes;yes
240515102944;malsha_seaa/pos/1508199146017127_front.jpeg;Is there a human pedestrian in this image? Answer only either "yes" or "no".;yes;yes
240515102949;malsha_seaa/pos/1508199147017115_front.jpeg;Is there a human pedestrian in this image? Answer only either "yes" or "no".;yes;yes
240515102957;malsha_seaa/pos/1508252463415079_front.jpeg;Is there a human pedestrian in this image? Answer only either "yes" or "no".;yes;yes
240515103004;malsha_seaa/pos/1508252464415591_front.jpeg;Is there a human pedestrian in this image? Answer only either "yes" or "no".;yes;yes
240515103010;malsha_seaa/pos/1508252465415690_front.jpeg;Is there a human pedestrian in this image? Answer only either "yes" or "no".;yes;yes
240515103017;malsha_seaa/pos/1508252466415805_front.jpeg;Is there a human pedestrian in this image? Answer only either "yes" or "no".;yes;yes
240515103023;malsha_seaa/pos/1508252467415714_front.jpeg;Is there a human pedestrian in this image? Answer only either "yes" or "no".;yes;yes
240515103031;malsha_seaa/pos/1508252468415717_front.jpeg;Is there a human pedestrian in this image? Answer only either "yes" or "no".;yes;yes
240515103038;malsha_seaa/pos/1508252469416115_front.jpeg;Is there a human pedestrian in this image? Answer only either "yes" or "no".;yes;yes
240515103045;malsha_seaa/pos/1508252470416150_front.jpeg;Is there a human pedestrian in this image? Answer only either "yes" or "no".;yes;yes
240515103052;malsha_seaa/pos/1508252471416293_front.jpeg;Is there a human pedestrian in this image? Answer only either "yes" or "no".;yes;yes
240515103059;malsha_seaa/pos/1508252472416127_front.jpeg;Is there a human pedestrian in this image? Answer only either "yes" or "no".;yes;yes
240515103107;malsha_seaa/pos/1508252473416203_front.jpeg;Is there a human pedestrian in this image? Answer only either "yes" or "no".;yes;yes
240515103114;malsha_seaa/pos/1508718058613868_front.jpeg;Is there a human pedestrian in this image? Answer only either "yes" or "no".;yes;yes
240515103124;malsha_seaa/pos/1508718065613742_front.jpeg;Is there a human pedestrian in this image? Answer only either "yes" or "no".;yes;yes
240515103133;malsha_seaa/pos/1508718066613802_front.jpeg;Is there a human pedestrian in this image? Answer only either "yes" or "no".;yes;yes
240515103140;malsha_seaa/pos/1508888856187557_front.jpeg;Is there a human pedestrian in this image? Answer only either "yes" or "no".;yes;yes
240515103147;malsha_seaa/pos/1508888857187418_front.jpeg;Is there a human pedestrian in this image? Answer only either "yes" or "no".;yes;yes
240515103153;malsha_seaa/pos/1508888858187428_front.jpeg;Is there a human pedestrian in this image? Answer only either "yes" or "no".;no;yes
240515103158;malsha_seaa/pos/1508888859187454_front.jpeg;Is there a human pedestrian in this image? Answer only either "yes" or "no".;yes;yes
240515103204;malsha_seaa/pos/1508888860187556_front.jpeg;Is there a human pedestrian in this image? Answer only either "yes" or "no".;yes;yes
