timestamp;image_file;prompt;response;goldtruth
240123112955;pedestrian_only_wide/I1_2009_09_08_drive_0012_001051.png;Is there a human pedestrian in this image? Answer only either "yes" or "no".;yes;yes
240123112958;pedestrian_only_wide/I1_2009_12_14_drive_0013_000201.png;Is there a human pedestrian in this image? Answer only either "yes" or "no".;yes;yes
240123113000;pedestrian_only_wide/I1_2009_12_14_drive_0021_000701.png;Is there a human pedestrian in this image? Answer only either "yes" or "no".;yes;yes
240123113002;pedestrian_only_wide/I1_2009_12_14_drive_0082_000101.png;Is there a human pedestrian in this image? Answer only either "yes" or "no".;yes;yes
240123113005;pedestrian_only_wide/I1_2009_12_14_drive_0082_000291.png;Is there a human pedestrian in this image? Answer only either "yes" or "no".;yes;yes
240123113010;pedestrian_only_wide/I1_2009_12_14_drive_0086_000201.png;Is there a human pedestrian in this image? Answer only either "yes" or "no".;yes;yes
240123113012;pedestrian_only_wide/I1_2010_03_04_drive_0014_000156.png;Is there a human pedestrian in this image? Answer only either "yes" or "no".;yes;yes
240123113014;pedestrian_only_wide/I1_2010_03_05_drive_0014_000221.png;Is there a human pedestrian in this image? Answer only either "yes" or "no".;yes;yes
240123113018;pedestrian_only_wide/I1_2010_03_05_drive_0015_000131.png;Is there a human pedestrian in this image? Answer only either "yes" or "no".;yes;yes
240123113020;pedestrian_only_wide/I1_2010_03_05_drive_0015_000141.png;Is there a human pedestrian in this image? Answer only either "yes" or "no".;yes;yes
240123113030;pedestrian_only_wide/I1_2010_03_05_drive_0015_000151.png;Is there a human pedestrian in this image? Answer only either "yes" or "no".;yes;yes
240123113034;pedestrian_only_wide/I1_2010_03_05_drive_0015_000161.png;Is there a human pedestrian in this image? Answer only either "yes" or "no".;yes;yes
240123113037;pedestrian_only_wide/I1_2010_03_05_drive_0018_000051.png;Is there a human pedestrian in this image? Answer only either "yes" or "no".;yes;yes
240123113041;pedestrian_only_wide/I1_2010_03_05_drive_0018_000061.png;Is there a human pedestrian in this image? Answer only either "yes" or "no".;yes;yes
240123113044;pedestrian_only_wide/I1_2010_03_05_drive_0018_000571.png;Is there a human pedestrian in this image? Answer only either "yes" or "no".;yes;yes
240123113046;pedestrian_only_wide/I1_2010_03_05_drive_0018_000586.png;Is there a human pedestrian in this image? Answer only either "yes" or "no".;yes;yes
240123113049;pedestrian_only_wide/I1_2010_03_05_drive_0018_000651.png;Is there a human pedestrian in this image? Answer only either "yes" or "no".;yes;yes
240123113053;pedestrian_only_wide/I1_2010_03_05_drive_0018_000666.png;Is there a human pedestrian in this image? Answer only either "yes" or "no".;yes;yes
240123113055;pedestrian_only_wide/I1_2010_03_05_drive_0018_000721.png;Is there a human pedestrian in this image? Answer only either "yes" or "no".;yes;yes
240123113058;pedestrian_only_wide/I1_2010_03_05_drive_0018_000736.png;Is there a human pedestrian in this image? Answer only either "yes" or "no".;yes;yes
240123113100;pedestrian_only_wide/I1_2010_03_05_drive_0019_000051.png;Is there a human pedestrian in this image? Answer only either "yes" or "no".;yes;yes
240123113103;pedestrian_only_wide/I1_2010_03_05_drive_0019_000056.png;Is there a human pedestrian in this image? Answer only either "yes" or "no".;yes;yes
240123113105;pedestrian_only_wide/I1_2010_03_05_drive_0019_000066.png;Is there a human pedestrian in this image? Answer only either "yes" or "no".;yes;yes
240123113111;pedestrian_only_wide/I1_2010_03_09_drive_0013_000201.png;Is there a human pedestrian in this image? Answer only either "yes" or "no".;yes;yes
240123113113;pedestrian_only_wide/I1_2010_03_09_drive_0013_000211.png;Is there a human pedestrian in this image? Answer only either "yes" or "no".;yes;yes
240123113123;pedestrian_only_wide/I1_2010_03_09_drive_0022_000111.png;Is there a human pedestrian in this image? Answer only either "yes" or "no".;yes;yes
240123113126;pedestrian_only_wide/I1_2010_03_09_drive_0022_000116.png;Is there a human pedestrian in this image? Answer only either "yes" or "no".;yes;yes
240123113128;pedestrian_only_wide/I1_2010_03_09_drive_0035_000121.png;Is there a human pedestrian in this image? Answer only either "yes" or "no".;yes;yes
240123113132;pedestrian_only_wide/I1_2010_03_09_drive_0037_000351.png;Is there a human pedestrian in this image? Answer only either "yes" or "no".;yes;yes
240123113135;pedestrian_only_wide/I1_2010_03_09_drive_0037_000571.png;Is there a human pedestrian in this image? Answer only either "yes" or "no".;yes;yes
240123113146;pedestrian_only_wide/I1_2010_03_09_drive_0037_000591.png;Is there a human pedestrian in this image? Answer only either "yes" or "no".;yes;yes
240123113151;pedestrian_only_wide/I1_2010_03_09_drive_0039_000416.png;Is there a human pedestrian in this image? Answer only either "yes" or "no".;yes;yes
240123113154;pedestrian_only_wide/I1_2010_03_09_drive_0040_000496.png;Is there a human pedestrian in this image? Answer only either "yes" or "no".;yes;yes
240123113158;pedestrian_only_wide/I1_2010_03_09_drive_0072_000051.png;Is there a human pedestrian in this image? Answer only either "yes" or "no".;yes;yes
240123113208;pedestrian_only_wide/I1_2010_03_09_drive_0072_000066.png;Is there a human pedestrian in this image? Answer only either "yes" or "no".;yes;yes
