timestamp;image_file;prompt;response;goldtruth
240506144526;malsha_seaa/neg/1511019697029315_front.jpeg;Is there a human pedestrian in this image? Answer only either "yes" or "no".;no;no
240506144631;malsha_seaa/pos/1506906089681221_front.jpeg;Is there a human pedestrian in this image? Answer only either "yes" or "no".;yes;yes
240506144637;malsha_seaa/pos/1506907458250708_front.jpeg;Is there a human pedestrian in this image? Answer only either "yes" or "no".;yes;yes
240506151757;malsha_seaa/pos/1506907459250608_front.jpeg;Is there a human pedestrian in this image? Answer only either "yes" or "no".;yes;yes
240506151806;malsha_seaa/pos/1506907460250766_front.jpeg;Is there a human pedestrian in this image? Answer only either "yes" or "no".;no;yes
240506151814;malsha_seaa/pos/1506907463250685_front.jpeg;Is there a human pedestrian in this image? Answer only either "yes" or "no".;yes;yes
240506151831;malsha_seaa/pos/1506907466250691_front.jpeg;Is there a human pedestrian in this image? Answer only either "yes" or "no".;yes;yes
240506151838;malsha_seaa/pos/1506959817627630_front.jpeg;Is there a human pedestrian in this image? Answer only either "yes" or "no".;yes;yes
240506151845;malsha_seaa/pos/1506959818627557_front.jpeg;Is there a human pedestrian in this image? Answer only either "yes" or "no".;yes;yes
240506151910;malsha_seaa/pos/1506959819627511_front.jpeg;Is there a human pedestrian in this image? Answer only either "yes" or "no".;yes;yes
240506151916;malsha_seaa/pos/1506959820627388_front.jpeg;Is there a human pedestrian in this image? Answer only either "yes" or "no".;yes;yes
240506151923;malsha_seaa/pos/1506961333987854_front.jpeg;Is there a human pedestrian in this image? Answer only either "yes" or "no".;yes;yes
240506151929;malsha_seaa/pos/1506961334986515_front.jpeg;Is there a human pedestrian in this image? Answer only either "yes" or "no".;yes;yes
240506151936;malsha_seaa/pos/1506961335982268_front.jpeg;Is there a human pedestrian in this image? Answer only either "yes" or "no".;yes;yes
240506151942;malsha_seaa/pos/1507130304508918_front.jpeg;Is there a human pedestrian in this image? Answer only either "yes" or "no".;no;yes
240506151949;malsha_seaa/pos/1507130305508886_front.jpeg;Is there a human pedestrian in this image? Answer only either "yes" or "no".;yes;yes
240506151956;malsha_seaa/pos/1507130306508853_front.jpeg;Is there a human pedestrian in this image? Answer only either "yes" or "no".;yes;yes
240506152005;malsha_seaa/pos/1507130307509115_front.jpeg;Is there a human pedestrian in this image? Answer only either "yes" or "no".;yes;yes
240506152037;malsha_seaa/pos/1507130308509236_front.jpeg;Is there a human pedestrian in this image? Answer only either "yes" or "no".;yes;yes
240506152044;malsha_seaa/pos/1507130309509190_front.jpeg;Is there a human pedestrian in this image? Answer only either "yes" or "no".;yes;yes
240506152051;malsha_seaa/pos/1507130310509541_front.jpeg;Is there a human pedestrian in this image? Answer only either "yes" or "no".;yes;yes
240506152058;malsha_seaa/pos/1507130311509733_front.jpeg;Is there a human pedestrian in this image? Answer only either "yes" or "no".;yes;yes
240506152107;malsha_seaa/pos/1507217998973709_front.jpeg;Is there a human pedestrian in this image? Answer only either "yes" or "no".;yes;yes
240506152113;malsha_seaa/pos/1507217999974119_front.jpeg;Is there a human pedestrian in this image? Answer only either "yes" or "no".;yes;yes
