timestamp;prompt;image_file;run;gencoordinates;goldcoordinates;overlap;areaoftrueboundingbox;totaltp;totalareaoftrueboundingbox;recall;union;overlap/union
240506151855;Given the ;1506906089681221_front.jpeg;0;(672.0, 665.6), (748.8000000000001, 857.6);(837.0, 707.0), (1176.0, 1110.0);0;136617.0;0;136617.0;0.0;151362.6;0.0
240506151920;Given the ;1506906089681221_front.jpeg;1;(806.4, 870.4000000000001), (921.5999999999999, 1126.4);(837.0, 707.0), (1176.0, 1110.0);20270.15999999997;136617.0;20270.15999999997;273234.0;0.14837216451832475;145838.04;0.13898994398207756
240506151951;Given the ;1506906089681221_front.jpeg;2;(921.5999999999999, 640.0), (998.4000000000001, 768.0);(837.0, 707.0), (1176.0, 1110.0);4684.800000000011;136617.0;24954.95999999998;409851.0;0.034291486418235;141762.6;0.03304656484457231
240506153100;Given the ;1506907463250685_front.jpeg;0;(1603.1999999999998, 1143.04), (1626.24, 1232.6399999999999);(1827.0, 673.0), (1908.0, 1965.0);0;104652.0;0;104652.0;0.0;106716.38400000002;0.0
240506153133;Given the ;1506907463250685_front.jpeg;1;(1459.2, 844.8000000000001), (1574.3999999999999, 934.4);(1827.0, 673.0), (1908.0, 1965.0);0;104652.0;0;209304.0;0.0;114973.91999999997;0.0
240506153257;Given the ;1506907466250691_front.jpeg;0;(1163.52, 705.2800000000001), (1219.2, 865.2800000000001);(1755.0, 696.0), (1914.0, 1879.0);0;188097.0;0;188097.0;0.0;197005.80000000002;0.0
240506153338;Given the ;1506907466250691_front.jpeg;1;(1361.28, 1100.8), (1472.64, 1231.36);(1755.0, 696.0), (1914.0, 1879.0);0;188097.0;0;376194.0;0.0;202636.16160000002;0.0
240506153419;Given the ;1506907466250691_front.jpeg;2;(1551.3600000000001, 1166.08), (1601.28, 1221.12);(1755.0, 696.0), (1914.0, 1879.0);0;188097.0;0;564291.0;0.0;190844.5968;0.0
240506153636;Given the ;1506959818627557_front.jpeg;0;(1747.2, 448.0), (1843.1999999999998, 832.0);(1358.0, 697.0), (1430.0, 1491.0);0;57168.0;0;57168.0;0.0;94031.99999999991;0.0
240506153703;Given the ;1506959818627557_front.jpeg;1;(1555.2, 243.2), (1632.0, 806.4);(1358.0, 697.0), (1430.0, 1491.0);0;57168.0;0;114336.0;0.0;100421.75999999998;0.0
240506153728;Given the ;1506959818627557_front.jpeg;2;(1555.2, 844.8000000000001), (1612.8, 1216.0);(1358.0, 697.0), (1430.0, 1491.0);0;57168.0;0;171504.0;0.0;78549.11999999997;0.0
240506153758;Given the ;1506959819627511_front.jpeg;0;(1582.08, 616.96), (1620.48, 719.3600000000001);(1470.0, 693.0), (1566.0, 1631.0);0;90048.0;0;90048.0;0.0;93980.16000000002;0.0
240506153850;Given the ;1506959819627511_front.jpeg;1;(1699.2, 876.8000000000001), (1795.2, 1260.8);(1470.0, 693.0), (1566.0, 1631.0);0;90048.0;0;180096.0;0.0;126911.99999999999;0.0
240506153922;Given the ;1506959819627511_front.jpeg;2;(1536.0, 704.0), (1632.0, 896.0);(1470.0, 693.0), (1566.0, 1631.0);5760.0;90048.0;5760.0;270144.0;0.06396588486140725;102720.0;0.0560742204612494
240506154003;Given the ;1506959820627388_front.jpeg;0;(1593.6, 844.8000000000001), (1670.4, 1228.8);(1569.0, 701.0), (1653.0, 1752.0);22809.600000000028;88284.0;22809.600000000028;88284.0;0.2583661818676094;94965.60000000003;0.24018549679571574
240506154046;Given the ;1506959820627388_front.jpeg;1;(1612.8, 742.4), (1689.6, 947.2);(1569.0, 701.0), (1653.0, 1752.0);8232.960000000012;88284.0;31042.56000000004;176568.0;0.09325540301753446;95779.68;0.08595637450057791
240506154135;Given the ;1506959820627388_front.jpeg;2;(1382.3999999999999, 729.5999999999999), (1459.2, 908.8);(1569.0, 701.0), (1653.0, 1752.0);0;88284.0;31042.56000000004;264852.0;0.0;102046.56000000004;0.0
240506154216;Given the ;1506961333987854_front.jpeg;0;(159.36, 947.2), (288.0, 1241.6);(4.0, 737.0), (80.0, 206.0);0;40356.0;0;40356.0;0.0;78227.61599999998;0.0
240506154245;Given the ;1506961333987854_front.jpeg;1;(230.39999999999998, 678.4000000000001), (307.2, 1036.8000000000002);(4.0, 737.0), (80.0, 206.0);0;40356.0;0;80712.0;0.0;67881.12000000001;0.0
240506154315;Given the ;1506961333987854_front.jpeg;2;(96.0, 985.6), (268.8, 1228.8);(4.0, 737.0), (80.0, 206.0);0;40356.0;0;121068.0;0.0;82380.95999999999;0.0
240506154345;Given the ;1506961334986515_front.jpeg;0;(307.2, 665.6), (480.0, 1254.4);(60.0, 741.0), (321.0, 281.0);0;120060.0;0;120060.0;0.0;221804.64;0.0
